      subject           activity tBodyAccmeanX tBodyAccmeanY tBodyAccmeanZ tGravityAccmeanX tGravityAccmeanY tGravityAccmeanZ tBodyAccJerkmeanX tBodyAccJerkmeanY tBodyAccJerkmeanZ tBodyGyromeanX
29          1            SITTING   0.287251640 -3.745506e-02 -1.459743e-01       0.83566368     1.606750e-01     3.998217e-01      8.954840e-02     -3.431797e-02      3.059737e-03  -4.840838e-02
30          1            SITTING   0.279997600 -1.948404e-02 -1.057235e-01       0.83695957     1.518773e-01     3.864676e-01      7.121544e-02      4.424412e-02      2.035816e-02  -3.941194e-02
31          1            SITTING   0.221846890  3.410767e-02 -1.236124e-01       0.83878762     1.507018e-01     3.834518e-01     -1.359132e-02      1.206858e-01      2.287041e-01  -3.773164e-02
32          1            SITTING  -0.041701306  1.751025e-01  2.555178e-02       0.81080506     1.955953e-01     3.871320e-01      5.045656e-02      9.083036e-02      5.331743e-03  -3.823281e-03
33          1            SITTING   0.013903671  1.532961e-01  1.624295e-02       0.70308608     3.140679e-01     4.397740e-01      1.784381e-01     -1.196644e-01     -2.591403e-01  -4.597220e-03
34          1            SITTING   0.303689270 -4.242805e-03 -1.508503e-01       0.61825810     4.095027e-01     4.812985e-01      9.899878e-02     -7.461257e-02     -7.336609e-03  -4.268154e-02
35          1            SITTING   0.290759690 -2.403476e-02 -1.167389e-01       0.62206550     4.198666e-01     4.686280e-01      6.297549e-02      3.415889e-02      3.317061e-02  -4.155671e-02
36          1            SITTING   0.270908230 -1.441297e-02 -1.065225e-01       0.62745102     4.150372e-01     4.642310e-01      7.559150e-02      1.169489e-02     -7.221197e-03  -3.545768e-02
37          1            SITTING   0.279553400 -1.700115e-02 -1.105167e-01       0.62532313     4.164885e-01     4.649477e-01      7.277383e-02      3.529381e-03     -6.003336e-04  -3.091914e-02
38          1            SITTING   0.276358640 -1.613809e-02 -1.080326e-01       0.62577398     4.168573e-01     4.643957e-01      7.621803e-02      9.405386e-03     -8.090716e-03  -2.820199e-02
39          1            SITTING   0.237154070  7.825122e-03 -1.228379e-01       0.89093772     1.135911e-01     3.303221e-01      7.530159e-02      8.265033e-02     -8.959965e-03  -2.250395e-01
40          1            SITTING   0.273108400  6.518112e-03 -1.094718e-01       0.87653997     1.255806e-01     3.252059e-01      8.452011e-02     -1.894673e-02      7.668207e-03  -1.493381e-01
41          1            SITTING   0.281505390 -1.843486e-02 -1.113929e-01       0.87482213     1.400672e-01     3.244106e-01      8.208196e-02     -5.853497e-03      3.202415e-03  -7.936611e-02
42          1            SITTING   0.278432250 -1.965430e-02 -1.079703e-01       0.87646180     1.392361e-01     3.235796e-01      7.268307e-02      1.973911e-02      4.014346e-03  -3.782473e-02
43          1            SITTING   0.273379600 -9.940106e-03 -1.083928e-01       0.87645385     1.384340e-01     3.233988e-01      7.213025e-02      1.992053e-02     -1.486057e-03  -2.107480e-02
44          1            SITTING   0.279056150 -1.626097e-02 -1.128157e-01       0.87538094     1.422228e-01     3.235127e-01      7.680763e-02     -4.292731e-03     -6.988435e-03  -1.749462e-02
45          1            SITTING   0.278599100 -1.991014e-02 -1.111806e-01       0.87579788     1.425845e-01     3.219477e-01      7.793440e-02      1.488802e-02      1.208610e-02  -2.049479e-02
46          1            SITTING   0.273281420 -1.112721e-02 -1.063493e-01       0.87599536     1.416296e-01     3.204761e-01      7.154356e-02      1.964730e-02     -3.766863e-03  -2.464414e-02
47          1            SITTING   0.278538120 -1.617343e-02 -1.097066e-01       0.87478155     1.448580e-01     3.205394e-01      7.451566e-02      9.269445e-03     -1.029172e-02  -2.633867e-02
48          1            SITTING   0.277461210 -1.749102e-02 -1.063594e-01       0.87474639     1.456034e-01     3.203871e-01      7.818778e-02      9.018933e-03      1.287297e-02  -2.802148e-02
49          1            SITTING   0.273940570 -1.314758e-02 -1.054352e-01       0.87423160     1.457272e-01     3.216296e-01      7.822826e-02      5.420173e-03      1.355066e-03  -2.869923e-02
50          1            SITTING   0.279303260 -2.052138e-02 -1.132364e-01       0.87324201     1.475858e-01     3.223358e-01      7.364780e-02      8.384170e-03     -5.081836e-03  -2.800608e-02
51          1            SITTING   0.279087200 -1.908324e-02 -1.058888e-01       0.87410872     1.456773e-01     3.208733e-01      6.886822e-02      2.022402e-02      6.905085e-03  -2.821166e-02
52          1             LAYING   0.403474330 -1.507440e-02 -1.181674e-01      -0.25504375     7.746587e-01     5.897765e-01      2.344686e-02      8.133385e-04      5.281132e-02   3.155195e-02
53          1             LAYING   0.278373210 -2.056096e-02 -9.682457e-02      -0.21014776     7.739047e-01     5.851198e-01      6.717800e-02      1.563789e-02     -1.618619e-02   9.257110e-03
54          1             LAYING   0.276555260 -1.786855e-02 -1.076213e-01      -0.20876483     7.717121e-01     5.899473e-01      8.249848e-02      8.356947e-03      2.341825e-04  -1.342439e-02
55          1             LAYING   0.279574760 -1.727572e-02 -1.094805e-01      -0.20956406     7.710966e-01     5.901047e-01      7.399550e-02      1.378212e-02     -7.371497e-03  -2.495981e-02
56          1             LAYING   0.276526990 -1.681910e-02 -1.079831e-01      -0.20874807     7.710371e-01     5.894140e-01      7.712244e-02      1.138041e-02      3.476128e-03  -2.955039e-02
57          1             LAYING   0.278123340 -1.714630e-02 -1.080137e-01      -0.20871697     7.712911e-01     5.893347e-01      7.560895e-02      1.233520e-02      1.399324e-03  -3.043115e-02
58          1             LAYING   0.278006540 -1.780317e-02 -1.089649e-01      -0.20863346     7.713511e-01     5.896349e-01      7.565798e-02      5.074836e-03     -1.226226e-03  -2.979633e-02
59          1             LAYING   0.280206400 -1.839626e-02 -1.074886e-01      -0.20856027     7.707487e-01     5.900170e-01      7.353179e-02      1.082414e-02     -1.958746e-03  -2.885418e-02
60          1             LAYING   0.281827740 -1.862647e-02 -1.052782e-01      -0.20760682     7.699227e-01     5.904504e-01      7.396448e-02      1.492454e-02     -1.918520e-03  -2.773713e-02
61          1             LAYING   0.276729410 -1.720955e-02 -1.056380e-01      -0.20636268     7.692959e-01     5.913059e-01      7.802742e-02      8.535975e-03     -5.298018e-03  -2.741544e-02
62          1             LAYING   0.275883590 -1.615031e-02 -1.088292e-01      -0.20649916     7.691518e-01     5.921432e-01      7.921759e-02      1.387129e-02      2.096618e-03  -2.755792e-02
63          1             LAYING   0.277830210 -1.768405e-02 -1.057035e-01      -0.20702615     7.696283e-01     5.921923e-01      7.449279e-02      1.542188e-02      4.916667e-03  -2.818969e-02
64          1             LAYING   0.279371150 -1.764495e-02 -1.081811e-01      -0.20699211     7.694673e-01     5.929165e-01      7.259470e-02      1.027552e-02     -2.639534e-03  -2.794832e-02
65          1             LAYING   0.019016151 -7.037357e-03 -2.833336e-02       0.04474389     7.584537e-01     5.049361e-01      3.348178e-01     -8.734224e-02     -2.407832e-01   2.020498e-01
66          1             LAYING   0.340208500 -3.645298e-02 -1.062582e-01      -0.04772783     7.686691e-01     5.409882e-01      7.109804e-02      2.682747e-02      4.010785e-02   1.186012e-01
67          1             LAYING  -0.166425690 -1.193525e-01  1.330350e-01      -0.04169984     7.555415e-01     5.474254e-01     -4.350741e-02     -5.376639e-02      1.950342e-01  -5.937978e-02
68          1             LAYING  -0.239102560 -9.690439e-02  1.480346e-01      -0.18770377     7.026221e-01     6.372279e-01      1.131427e-01      7.480631e-02     -1.038264e-01  -3.596119e-02
69          1             LAYING   0.346968480  6.940865e-02 -2.008255e-01      -0.35145953     6.551857e-01     7.311098e-01      2.088754e-01      1.137280e-01     -2.230382e-01   8.213321e-02
70          1             LAYING   0.303833190  1.036482e-01 -2.453310e-01      -0.33939193     6.970974e-01     7.020912e-01     -4.877732e-02      1.454852e-01      1.047532e-01  -3.693610e-02
71          1             LAYING  -0.361205330 -2.681211e-01  1.768964e-01      -0.36048000     7.164372e-01     6.629796e-01      2.062422e-02     -2.687057e-01      2.369391e-01  -2.378248e-01
72          1             LAYING  -0.277066340 -6.840966e-01  3.466577e-01      -0.57349604     5.251047e-01     7.797633e-01      1.706112e-01     -3.848919e-01     -2.864053e-02  -2.298140e-01
73          1             LAYING   0.257476500 -4.138653e-01  1.737419e-02      -0.74182101     1.601406e-01     9.495433e-01      1.116126e-01      3.056408e-01     -2.212343e-01   4.992881e-02
74          1             LAYING   0.276839650 -2.714766e-02 -1.231748e-01      -0.75672502    -5.899586e-02     9.993499e-01      6.719499e-02      2.242566e-01     -3.273832e-04   1.612799e-01
75          1             LAYING   0.268650950  1.643015e-02 -1.037257e-01      -0.75607738    -6.842049e-02     9.942967e-01      7.741743e-02     -3.735981e-02      7.425615e-03   8.657205e-02
76          1             LAYING   0.285263290 -8.888811e-03 -1.037452e-01      -0.75875146    -4.599824e-02     9.957729e-01      8.089920e-02     -4.153396e-04     -1.717945e-02   1.898220e-02
77          1             LAYING   0.283477320 -7.524458e-03 -1.092872e-01      -0.75643925    -4.004269e-02     9.973219e-01      6.727912e-02      8.388175e-03      5.915270e-04  -2.231962e-02
78          1             LAYING   0.273027120 -1.019676e-02 -1.111534e-01      -0.75507694    -3.458935e-02     9.968354e-01      7.190168e-02      1.871745e-02      7.642968e-03  -3.349663e-02
79          1            WALKING   0.282021570 -3.769622e-02 -1.348973e-01       0.94530277    -2.459414e-01    -3.216478e-02     -1.564857e-01     -1.428530e-01     -1.130787e-01  -4.797295e-01
80          1            WALKING   0.255840750 -6.455003e-02 -9.518634e-02       0.94111300    -2.520352e-01    -3.288345e-02     -2.075541e-01      3.578428e-01     -4.524009e-01   9.409148e-02
81          1            WALKING   0.254867230  3.814723e-03 -1.236581e-01       0.94636390    -2.642781e-01    -2.557507e-02      2.016045e-01      4.170823e-01      1.390782e-01   2.112006e-01
82          1            WALKING   0.343370480 -1.444622e-02 -1.673770e-01       0.95244515    -2.598379e-01    -2.613106e-02      3.360845e-01     -4.641436e-01     -5.025745e-03   9.608174e-02
83          1            WALKING   0.276239730 -2.963841e-02 -1.426163e-01       0.94712514    -2.571003e-01    -2.842261e-02     -2.356234e-01     -1.117772e-01      1.726546e-01   8.742388e-03
84          1            WALKING   0.255468220  2.121906e-02 -4.894943e-02       0.94574875    -2.547778e-01    -2.652145e-02      1.159299e-01      2.346673e-01      3.615052e-01  -4.255660e-02
85          1            WALKING   0.321139830  1.581795e-03 -4.355370e-02       0.95021213    -2.448298e-01    -2.362791e-02      3.048332e-01     -9.499304e-02     -3.623950e-01  -3.724651e-02
86          1            WALKING   0.234665900 -4.954772e-02 -1.117572e-01       0.94913033    -2.369051e-01    -2.220113e-02     -2.091684e-01      1.750055e-01     -4.204221e-01  -1.610861e-02
87          1            WALKING   0.312634040 -2.636775e-02 -1.309512e-01       0.94691727    -2.620556e-01    -2.023580e-02     -9.439467e-02      1.301735e-02     -3.057949e-01  -2.392859e-01
88          1            WALKING   0.276915400 -3.548621e-02 -8.056918e-02       0.94686993    -2.558006e-01    -3.562796e-02     -1.740537e-01     -4.430914e-02     -3.165089e-01  -7.073885e-02
89          1            WALKING   0.205307390 -8.508278e-03 -1.196470e-01       0.94541890    -2.546681e-01    -3.205750e-02      3.143290e-01     -3.726079e-02     -1.085886e-01   1.278096e-02
90          1            WALKING   0.306995990 -1.378698e-02 -1.801620e-01       0.94193674    -2.557594e-01    -2.683292e-02      4.670704e-01     -3.792152e-01     -1.268069e-01  -1.969172e-02
91          1            WALKING   0.281513250 -4.080090e-02 -1.346750e-01       0.93746757    -2.584000e-01    -3.486706e-02     -2.333256e-01      2.658533e-02      3.406616e-01  -4.920238e-02
92          1            WALKING   0.303885420  2.768038e-03 -3.861309e-02       0.93719527    -2.662121e-01    -3.442325e-02      1.903296e-02      7.424912e-02      2.957863e-01  -1.792712e-02
93          1            WALKING   0.354192900 -1.256094e-02 -5.868094e-02       0.94782306    -2.653990e-01    -3.058594e-02      1.651167e-01     -2.504744e-01     -2.625338e-01  -1.148171e-02
94          1            WALKING   0.222297850 -1.865968e-02 -1.171864e-01       0.95736507    -2.585116e-01    -3.063322e-02     -2.416108e-01      4.464715e-01     -9.482976e-02   1.299712e-02
95          1            WALKING   0.214481250  9.938745e-03 -1.230730e-01       0.95473147    -2.542127e-01    -2.761842e-02      4.079873e-01      3.678248e-01     -1.230162e-01   1.465161e-02
96          1            WALKING   0.327316570 -2.225582e-02 -1.491439e-01       0.94502756    -2.514783e-01    -2.424599e-02      3.986239e-01     -3.450005e-01     -1.626956e-01  -4.553238e-02
97          1            WALKING   0.349059100 -2.200378e-02 -1.500522e-01       0.94334390    -2.440032e-01    -2.072437e-02     -1.685549e-01      1.197736e-02      8.630840e-02  -6.835350e-02
98          1            WALKING   0.264681730 -8.591927e-03 -1.029737e-01       0.94864827    -2.343822e-01    -1.860258e-02     -3.439853e-01      1.807708e-01      3.183325e-01  -6.582448e-02
99          1            WALKING   0.284317480 -2.720582e-02 -2.123030e-01       0.95641810    -2.600031e-01    -1.416047e-02     -1.907611e-01     -1.583020e-01      2.725886e-01   1.916016e-01
100         1            WALKING   0.221726740 -2.437697e-02 -7.507641e-02       0.95149993    -2.635625e-01    -3.935712e-02      3.393576e-01      4.257825e-01      6.341735e-01   2.148343e-02
101         1            WALKING   0.290971480 -2.781042e-02 -4.298254e-02       0.93851389    -2.684192e-01    -3.633904e-02      2.117157e-01     -2.848953e-01     -1.670800e-01  -3.661817e-02
102         1            WALKING   0.261080770 -1.563562e-02 -1.025884e-01       0.93447152    -2.693650e-01    -3.065686e-02     -1.904378e-01     -1.273733e-01     -4.591333e-01  -3.299820e-02
103         1            WALKING   0.252425050  6.277345e-03 -1.251801e-01       0.93776033    -2.688286e-01    -2.931498e-02      1.884084e-01     -8.793965e-02     -3.554996e-01  -4.513244e-02
104         1            WALKING   0.358786640 -1.695451e-02 -1.547766e-01       0.93861575    -2.682846e-01    -2.678301e-02     -8.428337e-02      1.847861e-01      1.706285e-01  -6.647062e-02
105         1            WALKING   0.256935000 -1.057740e-02 -1.054419e-01       0.94075878    -2.588639e-01    -2.292833e-02      1.078286e-02      4.406823e-01      4.735211e-01  -4.751472e-02
106         1            WALKING   0.298554140  7.944557e-04 -4.069567e-02       0.95022231    -2.490710e-01    -1.848941e-02      4.177467e-01     -3.286508e-01      4.807835e-02  -5.995921e-02
107         1            WALKING   0.308045750 -2.330046e-02 -7.970154e-02       0.95683540    -2.456630e-01    -1.971588e-02     -3.779975e-03     -1.876455e-01     -2.286139e-01  -1.701096e-02
108         1            WALKING   0.203561670 -3.050523e-02 -1.370951e-01       0.95367537    -2.425542e-01    -2.302608e-02     -7.518425e-02      2.401122e-01     -2.585320e-01   3.677459e-02
109         1            WALKING   0.280560950 -1.142465e-02 -1.561980e-01       0.95226274    -2.517569e-01    -2.711614e-02      2.147352e-01      2.129431e-03     -1.875925e-01   1.778017e-03
110         1            WALKING   0.332169330 -3.458583e-02 -1.592692e-01       0.94715881    -2.644091e-01    -3.554476e-02      2.586503e-01      1.510204e-01      1.489839e-01  -3.345702e-02
111         1            WALKING   0.287030170 -2.723993e-02 -1.175000e-01       0.94365045    -2.616341e-01    -3.762800e-02     -5.242862e-02      1.236930e-01      4.027456e-01  -8.137245e-02
112         1            WALKING   0.301594130 -4.465300e-02 -8.151395e-02       0.94214757    -2.642066e-01    -3.787194e-02      1.182545e-01     -5.944437e-02     -2.554363e-01  -6.312849e-01
113         1            WALKING   0.246089190 -1.617542e-02 -1.118834e-01       0.93159584    -2.694348e-01    -4.287294e-02     -1.662814e-02      5.689211e-01      1.096555e-01  -3.664444e-01
114         1            WALKING   0.292724390 -2.139838e-03 -1.403485e-01       0.94120320    -2.692578e-01    -3.442237e-02      5.480943e-01     -3.875255e-01     -2.793576e-01  -1.993631e-01
115         1            WALKING   0.331560030 -7.495015e-03 -1.317387e-01       0.94630634    -2.657432e-01    -2.855415e-02     -2.194115e-01      6.769619e-03      3.014996e-01  -9.803130e-02
116         1            WALKING   0.202010550 -9.037945e-03 -7.909586e-02       0.94588224    -2.552946e-01    -2.255817e-02     -1.378269e-01      4.212175e-01      5.068526e-01   1.747025e-02
117         1            WALKING   0.303634910 -1.465677e-02 -4.261383e-02       0.94257515    -2.516643e-01    -1.830178e-02      1.030599e-01     -8.482619e-02     -1.039181e-01   4.813545e-02
118         1            WALKING   0.359193610 -1.807972e-02 -7.234686e-02       0.94245852    -2.493412e-01    -1.654364e-02     -1.072552e-01     -1.873342e-01     -1.942098e-01  -7.093554e-03
119         1            WALKING   0.224427540 -3.146435e-02 -1.272630e-01       0.94799378    -2.440090e-01    -1.591699e-02      2.140808e-01      3.603799e-01     -5.350141e-02   2.141360e-04
120         1            WALKING   0.239958260 -9.710720e-03 -1.219702e-01       0.95185590    -2.477778e-01    -1.758365e-02      2.177441e-01      2.127059e-01     -2.858573e-02  -2.135635e-02
121         1            WALKING   0.289727470  1.534272e-02 -1.166752e-01       0.95268931    -2.489196e-01    -1.421505e-02      2.098871e-01     -1.347086e-01     -2.499207e-01  -7.294429e-02
122         1            WALKING   0.308305370 -1.988284e-02 -1.604467e-01       0.95074425    -2.414909e-01    -1.423267e-02      2.866663e-01     -3.148356e-01     -1.748524e-01  -4.703598e-02
123         1            WALKING   0.327465430 -3.566696e-02 -1.818237e-01       0.94991264    -2.380257e-01    -2.320826e-02     -1.220785e-01     -4.348798e-02      1.870543e-01   8.096776e-03
124         1            WALKING   0.238411020 -2.319639e-02 -1.125518e-01       0.95276814    -2.402416e-01    -3.398022e-02     -2.119669e-01      4.013103e-01      3.730073e-01  -2.818050e-02
125         1            WALKING   0.180194300 -1.779685e-02 -3.934704e-02       0.95142625    -2.483509e-01    -3.848385e-02      3.631107e-01      1.096556e-01      2.532334e-01  -4.397522e-02
126         1 WALKING_DOWNSTAIRS   0.358455320  1.797538e-02 -8.415912e-02       0.93118552    -2.500378e-01    -2.666901e-02      2.352453e-01     -8.728431e-02     -2.325006e-01  -3.272786e-02
127         1 WALKING_DOWNSTAIRS   0.301715120 -7.049391e-03 -9.368145e-02       0.94706198    -2.304889e-01    -1.555160e-02      6.472243e-02      1.914369e-02     -3.765385e-02  -7.342379e-02
128         1 WALKING_DOWNSTAIRS   0.281551720 -1.611029e-02 -1.400925e-01       0.95929939    -2.204156e-01    -1.457935e-02     -5.086856e-02      1.660134e-01      8.621555e-02  -4.770527e-01
129         1 WALKING_DOWNSTAIRS   0.273955740 -2.289929e-02 -1.272561e-01       0.95898314    -2.166562e-01    -3.104535e-02      5.093887e-02     -1.113879e-01     -4.574409e-03  -4.445244e-01
130         1 WALKING_DOWNSTAIRS   0.299957170  1.408212e-02 -8.231040e-02       0.94946250    -2.174464e-01    -3.602408e-02      4.067403e-02      1.021473e-01     -3.598386e-02   7.630767e-02
131         1 WALKING_DOWNSTAIRS   0.265373790 -1.715621e-02 -1.387735e-01       0.95466327    -2.069250e-01    -2.748242e-02      8.044999e-02      1.849623e-02     -3.739832e-02  -1.756098e-01
132         1 WALKING_DOWNSTAIRS   0.277633110 -3.726758e-02 -1.000209e-01       0.95827116    -2.072733e-01    -3.641333e-02      6.185980e-02     -2.050452e-01      5.761467e-02   6.238958e-04
133         1 WALKING_DOWNSTAIRS   0.266880160 -2.307302e-03 -6.372715e-02       0.94976646    -2.160043e-01    -3.140691e-02      9.544382e-02      1.689441e-01     -1.001612e-03   4.475729e-01
134         1 WALKING_DOWNSTAIRS   0.210700470 -5.968762e-03 -1.095915e-01       0.95162211    -2.107124e-01    -1.348790e-02      1.517359e-01      1.446438e-01      3.032004e-02   2.946423e-01
135         1 WALKING_DOWNSTAIRS   0.285213050 -2.020246e-02 -1.102421e-02       0.92083549    -2.670119e-01    -5.193350e-02      6.879532e-01     -4.419585e-01     -5.896137e-01  -4.128569e-01
136         1 WALKING_DOWNSTAIRS   0.469945800 -3.362411e-02 -1.412542e-01       0.92721895    -2.575283e-01    -1.131107e-02     -2.568984e-01      5.372408e-01     -7.140685e-02  -3.301899e-01
137         1 WALKING_DOWNSTAIRS   0.235284410 -1.457047e-02 -2.084178e-01       0.93801097    -2.655247e-01    -1.599901e-02     -5.594073e-01      4.256903e-01      5.381009e-01  -5.619920e-01
138         1 WALKING_DOWNSTAIRS   0.166913600 -3.373288e-02 -1.333487e-01       0.94298012    -2.769794e-01    -3.523629e-02      9.807449e-01     -2.800605e-01      1.315911e-02  -1.731315e-01
139         1 WALKING_DOWNSTAIRS   0.445620970 -1.190271e-02 -1.511691e-01       0.93458522    -2.767130e-01    -2.910468e-02     -3.419606e-02      5.979334e-02     -2.308162e-01   5.730994e-02
140         1 WALKING_DOWNSTAIRS   0.231799210 -7.522025e-03 -5.580101e-02       0.93800984    -2.672132e-01    -4.285211e-02     -7.046773e-01      8.643547e-02      1.433561e-01  -1.924602e-01
141         1 WALKING_DOWNSTAIRS   0.281349490 -7.098312e-04 -8.699900e-03       0.93926427    -2.624072e-01    -4.315252e-02      4.288411e-01     -1.376142e-01      1.692344e-01   2.096374e-01
142         1 WALKING_DOWNSTAIRS   0.362482490 -3.552694e-03 -1.810446e-01       0.93532883    -2.487501e-01    -1.850253e-02      1.180432e-01      1.139529e-01     -3.050968e-01   4.022882e-01
143         1 WALKING_DOWNSTAIRS   0.435036870 -6.591749e-03 -8.290993e-02       0.92422997    -2.764208e-01    -4.117007e-02      8.911772e-02     -8.455917e-02     -2.150998e-01  -4.701094e-01
144         1 WALKING_DOWNSTAIRS   0.351198840  2.186673e-02 -1.494262e-01       0.93348850    -2.623770e-01    -1.966674e-02     -3.621611e-01      3.708422e-01      2.295983e-01  -4.379426e-01
145         1 WALKING_DOWNSTAIRS   0.130461180 -5.499692e-02 -1.317865e-01       0.94520270    -2.549693e-01    -2.394757e-02      6.859970e-01      2.129494e-01      4.817404e-01  -5.885854e-01
146         1 WALKING_DOWNSTAIRS   0.312776290 -5.040937e-02 -4.302864e-02       0.92813939    -2.679981e-01    -2.668508e-02      1.529432e-02     -4.982828e-02      1.198283e-01  -1.507958e-01
147         1 WALKING_DOWNSTAIRS   0.425956060  2.456000e-02 -1.509595e-01       0.90796935    -2.655418e-01    -6.803997e-03     -5.908694e-01     -3.249654e-01     -1.579199e-01  -8.948861e-02
148         1 WALKING_DOWNSTAIRS   0.267498640 -1.831948e-02 -1.690128e-01       0.93019322    -2.494084e-01    -2.606449e-02     -4.410901e-02     -6.359009e-02      1.629078e-01  -1.442861e-01
149         1 WALKING_DOWNSTAIRS   0.154394160  1.604517e-03 -1.054862e-02       0.94256743    -2.537408e-01    -4.937564e-02      3.576211e-01      1.977936e-02     -2.232394e-01   3.545192e-01
